product_id,name,categories,price,packing,image
33917450081,cheestrings Original 40 % Fett i. Tr.,Kühlregal,2.29,80g Packung,//assets.bringmeister.de/media/p/33917450081/0/1a3da58d04721060cb15a765696f20d8.jpg
1692410071,Popp Brotaufstrich Geflügelsalat,Kühlregal,1.89,150g Becher,//assets.bringmeister.de/media/p/1692410071/0/5898f3b62dbd29c03861812ea4fb6225.jpg
21696590001,Wolf Original Thüringer Leberwurst,Kühlregal,3.15,150g Packung,//assets.bringmeister.de/media/p/21696590001/0/d9bd58cb7d280306dfec6202a841a2fb.jpg
13462160091,GUT&GÜNSTIG Kidneybohnen,Nahrungsmittel,0.79,400g Dose,//assets.bringmeister.de/media/p/13462160091/0/42b4f9af11b98ef01857e3f91f0e4faa.jpg
12581850001,Märkisch Kristall Multivitamin,Getränke,1.35,1.5l Flasche,//assets.bringmeister.de/media/p/12581850001/0/dbad4e76431d1859a175a3a67a46ef48.jpg
39183240042,deit Orange,Getränke,12.6,12 x 1l Packung,//assets.bringmeister.de/media/p/39183240042/0/c1aa7cb80a2c939432ee8a609b769cb8.jpg
39183240041,deit Orange,Getränke,1.05,1l Packung,//assets.bringmeister.de/media/p/39183240041/0/b51f5051adf3975fb8f9591de3fb038e.jpg
57697920091,Männl Bio-Holzofenbrot mit Sonnenblumenkernen 750g,"Brot, Backwaren & Brotaufstriche",5.29,750g Packung,//assets.bringmeister.de/media/p/57697920091/0/5aaf00f272cc1f07f358dda40b9782da.jpg
25339000021,Spreewaldhof Apfel-Rotkohl,Nahrungsmittel,1.89,400g Packung,//assets.bringmeister.de/media/p/25339000021/0/fa25a02981997f13fe4be54c03c09838.jpg
50094600001,GUT&GÜNSTIG Essigessenz,Nahrungsmittel,0.79,400g Flasche,//assets.bringmeister.de/media/p/50094600001/0/be3f05df98a7fb7cedd19ff5e0ac4339.jpg
28621880051,Dentagard Original Zahnpasta,Drogerieartikel,0.99,75ml Packung,//assets.bringmeister.de/media/p/28621880051/0/1e3feb138921f80519fd91c570659a6a.jpg
51928540021,Dr.Oetker Ristorante Salame Mozzarella Pesto,Tiefkühlkost,3.59,360g Packung,//assets.bringmeister.de/media/p/51928540021/0/43d72ce52d2edb20a601eb824354379d.jpg
45721950091,EDEKA Bio Himalaya Basmatireis,Nahrungsmittel,2.49,400g Stück,//assets.bringmeister.de/media/p/45721950091/0/4816390f6bf41034c8a84a48b210a64f.jpg
43871560081,MILRAM Frühlingsquark 40 % Fett i. Tr.,Kühlregal,1.49,185g Becher,//assets.bringmeister.de/media/p/43871560081/0/8f7b7019049878d561c340a1427a2bf7.jpg
43185010081,iglo MSC Schlemmer-Filet à la Bordelaise Knusprig Kross,Tiefkühlkost,4.69,380g Packung,//assets.bringmeister.de/media/p/43185010081/0/3c33de937164a84990b166302ddd9305.jpg
52088420031,funny-frisch Linsen Chips Sour Cream,Süßigkeiten & Salziges,1.99,90g Packung,//assets.bringmeister.de/media/p/52088420031/0/06a30efa9bbeeb1f0fd6e7a05edbd4f6.jpg
29708260001,Alnatura Bio Traubensaft naturtrüb,Getränke,2.35,1l Packung,//assets.bringmeister.de/media/p/29708260001/0/d5ce58681eaec9a003d7808283847c81.jpg
12090590002,Spreequell Medium 500ml Einweg,Getränke,3.29,6 x 500ml Flasche / Packung,//assets.bringmeister.de/media/p/12090590002/0/e5528d55328ea5363c321017cd936523.jpg
1305460011,Dr.Oetker Original Backin,Nahrungsmittel,0.65,48g Packung,//assets.bringmeister.de/media/p/1305460011/0/b8df8ffec78661e76fb44eaae8c4e56c.jpg
395050532,Dinkelcrusty,"Brot, Backwaren & Brotaufstriche",2.19,3 x 85g Stück / Tüte,//assets.bringmeister.de/media/p/395050532/0/7827de14179df3a33cb0c3f604f4e911.jpg
27692660061,Harry Bauern Goldkrüstchen,"Brot, Backwaren & Brotaufstriche",2.49,480g Packung,//assets.bringmeister.de/media/p/27692660061/0/d35033b9ed41b226b3290622178b2207.jpg
395028322,Laugenstange,"Brot, Backwaren & Brotaufstriche",1.99,2 x 110g Stück / Tüte,//assets.bringmeister.de/media/p/395028322/0/5947ae916d98faaea9db1c28dd862af0.jpg
301018091,GUT & GÜNSTIG Geflügel-Fleischwurst,Kühlregal,1.95,400g Packung,//assets.bringmeister.de/media/p/13978650031/0/b11123b529003295890d6c0148d92415.jpg
59112070051,EDEKA Bio Gouda in Scheiben 48% Fett i. Tr.,Kühlregal,2.19,200g Packung,//assets.bringmeister.de/media/p/59112070051/0/31af424c25dc3590540110699fc66424.jpg
1701810061,Leckermäulchen Milch-Quark Stracciatella,Kühlregal,1.15,150g Becher,//assets.bringmeister.de/media/p/1701810061/0/095812f8c465f9626a724bd3c3af8101.jpg
11868890011,FRoSTA Spätzle Pfanne,Tiefkühlkost,4.79,500g Packung,//assets.bringmeister.de/media/p/11868890011/0/7d2fc130dc8590a75f62600c13ff9f04.jpg
46562750011,EDEKA Bio Apfelmus,Nahrungsmittel,0.99,360g Glas,//assets.bringmeister.de/media/p/46562750011/0/f67160e428d2614b7b26a59aac0d5fe2.jpg
8701410011,FRoSTA Bami Goreng,Tiefkühlkost,4.89,500g Packung,//assets.bringmeister.de/media/p/8701410011/0/e8e0d23736e938acad78d2230364338d.jpg
6696900001,"Géramont cremig-zarte Scheiben, 60 % Fett i. Tr.",Kühlregal,3.45,150g Packung,//assets.bringmeister.de/media/p/6696900001/0/2160655239a738d896572393904d8e4e.jpg
23613440051,"Weihenstephan Frischer Kakao 3,5 % Fett",Kühlregal,1.99,1l Packung,//assets.bringmeister.de/media/p/23613440051/0/5bff8a8d4c51c6b0ba68fd69e972b477.jpg
